"municipio";"nombre_cine";"numero_pantallas";"fecha_inaguracion";"direccion";"comunidad"
"Albánchez";"Salón Alhambra";"2";"1930";"c/ Almería, 14";"ANDALUCIA"
"Alcalá de Guadaíra";"Salón Gutiérrez de Alba (Cine‐ Teatro Gutiérrez de Alba)";"3";"1931";"c/ Nuestra Señora del Águila, 49";"ANDALUCIA"
"Alcalá de los Gazules";"Cine Andalucía";"1";"1957";"Pl. de Santo Domingo, s/n";"ANDALUCIA"
"Alcalá la Real";"Teatro Martínez Montañés";"3";"1916";"c/ Emilio Mesejo, 5";"ANDALUCIA"
"Algeciras";"Cine Baluarte";"2";"1996";"c/ Trafalgar, s/n";"ANDALUCIA"
"Algeciras";"Cine Magallanes";"2";"1987";"Avda. de las Fuerzas Armadas, 1";"ANDALUCIA"
"Algeciras";"Teatro Municipal Florida";"3";"1945";"Avda. Agustín Bálsamo, s/n";"ANDALUCIA"
"Algeciras";"(Teatro Cine Florida, Cine Florida)";"";"";"esquina José Fariña";"ANDALUCIA"
"Alhama de Granada";"Cine Pérez";"2";"1920";"c/ Peñas, s/n";"ANDALUCIA"
"Alhaurín el Grande";"Cine San Francisco (Teatro Cine San Francisco)";"1";"1977";"c/ Convento, 57";"ANDALUCIA"
"Aljaraque";"Teatro Cinema de Corrales";"3";"1954";"c/ El Cabezo, s/n (Poblado Minero de Corrales)";"ANDALUCIA"
"Almería";"Cine Katiuska (Salón Katiuska, ""el cine rojo"", Salón Nacional)";"1";"1936";"c/ General Luque, 70";"ANDALUCIA"
"Almería";"Cine Reyes Católicos";"2";"1961";"c/ Reyes Católicos, 27";"ANDALUCIA"
"Almería";"Minicines Moderno";"2";"1969";"c/ José María de Acosta, s/n";"ANDALUCIA"
"Almería";"Teatro Cervantes (Cine Cervantes)";"3";"1921";"c/ Poeta Villaespesa, 1, esquina con Paseo de Almería, 56";"ANDALUCIA"
"Almonaster la Real";"Cine de Mina Concepción";"2";"1955";"Avda. del Yacimiento. Mina Concepción";"ANDALUCIA"
"Almonte";"Cine Andaluz (Cine Cervantes)";"2";"1950";"c/ Miguel Hernández, esquina c/ Lorenzo Cruz";"ANDALUCIA"
"Andújar";"Cine Tívoli";"2";"1934";"Pl. del Castillo, 8";"ANDALUCIA"
"Antas";"Cine San Juan";"1";"1970";"c/ Blas Infante, 16";"ANDALUCIA"
"Antequera";"Ideal Cinema";"2";"1941";"c/ Infante Don Fernando, 47";"ANDALUCIA"
"Antequera";"Teatro‐Cine Torcal Municipal (Cine Torcal)";"3";"1934";"c/ Cantareros, 4‐6";"ANDALUCIA"
"Arahal";"Teatro Cine Cervantes (Cine Cervantes)";"1";"1970";"c/ San Roque, s/n";"ANDALUCIA"
"Arcos de la Frontera";"Teatro Olivares Veas";"3";"1912";"c/ de Maldonado, s/n";"ANDALUCIA"
"Arjona";"Centro Cultural (Cine Capitol)";"2";"1962";"c/ Cervantes, 10";"ANDALUCIA"
"Arriate";"Sala Los Caireles (Ideal Cinema)";"3";"1947";"c/ Ronda, 10";"ANDALUCIA"
"Atarfe";"Cine Alhamar (Ideal Cinema)";"1";"1943";"c/ Enrique Ruiz Cabello, 27";"ANDALUCIA"
"Ayamonte";"Teatro Cine Cardenio (Cine Cardenio)";"3";"1952";"c/ Enrique Villegas Vélez, s/n";"ANDALUCIA"
"Baena";"Teatro Liceo";"3";"1910";"Pl. de la Constitución, s/n";"ANDALUCIA"
"Baeza";"Cine de El Puente del Obispo";"2";"1955";"c/ 28 de febrero, 1. Poblado de El Puente del Obispo";"ANDALUCIA"
"Baeza";"Teatro Municipal Montemar (Teatro Cine Montemar)";"3";"1968";"c/ Cózar, 5";"ANDALUCIA"
"Bailén";"Cine España";"1";"1955";"c/ Conde de Torreanaz, 6";"ANDALUCIA"
"Barbate";"Teatro‐Cine Avenida";"1";"1949";"Avda. Río Barbate, 25";"ANDALUCIA"
"Los Barrios";"Cine Municipal";"1";"1940";"c/ Huérfanas, s/n";"ANDALUCIA"
"Baza";"Auditorio Enrique Pareja (Salón Ideal, Teatro Ideal)";"3";"1926";"c/ Alamillos, s/n";"ANDALUCIA"
"Baza";"Teatro Dengra (Teatro Cine Dengra, Cinema Dengra)";"1";"1930";"Pl. de Santo Domingo, s/n";"ANDALUCIA"
"Beas de Segura";"Teatro Regio (Cine Regio)";"3";"1957";"c/ La Feria, s/n";"ANDALUCIA"
"Benalup";"Cine Román";"2";"1955";"c/ San Juan, 14";"ANDALUCIA"
"Benamaurel";"Cine Camacho";"2";"1950";"c/ Calvo Sotelo, s/n";"ANDALUCIA"
"Berja";"Cine Molina";"1";"1964";"c/ del Agua, 54";"ANDALUCIA"
"Bonares";"Teatro Cine Colón";"3";"1940";"c/ Cervantes, 1";"ANDALUCIA"
"Bujalance";"Teatro Español";"3";"1946";"c/ Poeta García Lorca, 1";"ANDALUCIA"
"Cabra";"Cine Benavente";"1";"1951";"c/ Santa Ana, 17";"ANDALUCIA"
"Cabra";"Cine Paz (Salón Prim)";"2";"1910";"c/ Moya, 12";"ANDALUCIA"
"Cádiz";"Cine Municipal";"2";"1932";"Pl. del Palillero, 1";"ANDALUCIA"
"Cádiz";"Cines Al‐Andalus Cádiz (Cine Municipal)";"3";"1935";"Pl. Palillero, 1";"ANDALUCIA"
"Cádiz";"Gran Teatro Falla (Gran Teatro)";"3";"1910";"Pl. de Falla, s/n";"ANDALUCIA"
"Cádiz";"Multicines Cádiz";"2";"1981";"Pasaje Reina Victoria";"ANDALUCIA"
"Calañas";"Cine Minero (""Cine Alonsito"")";"3";"1955";"c/ Rondana. La Zarza";"ANDALUCIA"
"Calañas";"Cine Troyano";"2";"1944";"c/ Don José Troyano, 41";"ANDALUCIA"
"Cantoria";"Teatro Saavedra";"3";"1923";"c/ Romero, 6, esquina c/ Ermita";"ANDALUCIA"
"Cañete de las Torres";"Cine Santa Ana (""Cine de Arriba"")";"2";"1955";"c/ Córdoba, 4";"ANDALUCIA"
"Carmona";"Teatro Cerezo Cine (Teatro Cerezo)";"3";"1933";"Paseo del Estatuto s/n";"ANDALUCIA"
"La Carolina";"Teatro Cine Carlos III";"3";"1921";"c/ San Juan de la Cruz, 13";"ANDALUCIA"
"Castilblanco de";"Cine Cervantes";"2";"1940";"Pza. de la Iglesia, 4, con trasera a c/ León Felipe, 13";"ANDALUCIA"
"Castilléjar";"Cine Teatro Municipal (Cinema Azul)";"3";"1950";"c/ Molino, s/n";"ANDALUCIA"
"Cazalla de la Sierra";"Cine Cazalla";"2";"1944";"c/ Virgen del Monte, 38";"ANDALUCIA"
"Cazorla";"Teatro La Merced (Teatro Cine La Merced)";"3";"1951";"Pl. Francisco Martínez, 1";"ANDALUCIA"
"Córdoba";"Alkázar Multicines (Cine Alcázar)";"1";"1930";"c/ Reyes Católicos, 15";"ANDALUCIA"
"Córdoba";"Cine Almirante";"1";"1970";"Avda. Mediterráneo, s/n. Parque Figueroa";"ANDALUCIA"
"Córdoba";"Cine Osio";"2";"1957";"Pl. Cañero, s/n (Barrio de Cañero)";"ANDALUCIA"
"Córdoba";"Cine Teatro Palacio del Cine";"2";"1946";"c/ Hornachuelos, 3";"ANDALUCIA"
"Córdoba";"Cines Isabel la Católica (Cine Isabel la Católica)";"1";"1967";"Pl. de la Puerta del Rincón, s/n";"ANDALUCIA"
"Córdoba";"Córdoba Cinema (Cine Córdoba)";"1";"1960";"c/ Úbeda esquina c/ Cabra";"ANDALUCIA"
"Córdoba";"Teatro Góngora (Cine Góngora)";"3";"1932";"c/ Jesús María, 10";"ANDALUCIA"
"El Coronil";"Cine Avenida";"1";"1940";"Avda. Andalucía, 17 esq. c/ San Roque";"ANDALUCIA"
"Corrales";"Cinema‐Teatro de Corrales (Cinema Corrales)";"3";"1945";"c/ de los Talleres";"ANDALUCIA"
"Cortegana";"Cine Avenida (Cine Serrano)";"2";"1949";"Avda. Pedro Maestre esq. c/ Santa Engracia";"ANDALUCIA"
"Cortegana";"Cine Martín";"2";"1925";"c/ Iglesia, 13";"ANDALUCIA"
"Cuevas del Almanzora";"Cine Echegaray";"3";"1964";"Glorieta Sotomayor, s/n";"ANDALUCIA"
"Cuevas del Becerro";"Casa de la Cultura (Cine Villarejo, El Cine)";"2";"1945";"c/ Virgen del Pilar, 43";"ANDALUCIA"
"Cúllar";"Cine Cervantes (Teatro Cine Cervantes)";"1";"1949";"c/ de la Kika, 4";"ANDALUCIA"
"Cumbres Mayores";"Cine Esperanza";"1";"1951";"c/ Huertos, 9";"ANDALUCIA"
"Cútar";"Cine de Cútar";"2";"1956";"c/ Tintoreros, 2";"ANDALUCIA"
"Dalías";"Cine Español (Teatro Español)";"2";"1959";"c/ del Teatro, 1";"ANDALUCIA"
"Dúrcal";"Cine Lecrín";"1";"1944";"Pl. del Cine, s/n";"ANDALUCIA"
"Écija";"Teatro Cinema Cabrera (Teatro Cine Imperial, Cine Imperial)";"2";"1945";"c/ San Francisco, 14";"ANDALUCIA"
"Écija";"Teatro Municipal (Teatro‐Cine Sanjuán)";"3";"1940";"c/ Comedias, 14, 10";"ANDALUCIA"
"Encinasola";"Cine Flores";"1";"1960";"c/ González Bravo, 12";"ANDALUCIA"
"Estepa";"Cine Florida";"1";"1957";"c/ Virgen de la Asunción, 1";"ANDALUCIA"
"Fiñana";"Teatro Cine Municipal";"3";"1958";"Pl. de la Constitución, 1";"ANDALUCIA"
"Frailes";"Cinema España (Cine España)";"1";"1949";"c/ Mesón, 3";"ANDALUCIA"
"Fuengirola";"Cine Sohail";"2";"1950";"Av. Condes de San Isidro, 2";"ANDALUCIA"
"Fuengirola";"Theatre‐Salon Varietes (Teatro Salon Varietes)";"3";"1930";"c/ Emancipación, s/n";"ANDALUCIA"
"Fuenteheridos";"Cine‐Teatro de Fuenteheridos";"2";"1955";"c/ Médico González, 2 esq. c/ de la Fuente";"ANDALUCIA"
"Garrucha";"Cinema Teatro";"1";"1948";"Calle Aristóteles, 5";"ANDALUCIA"
"Granada";"Aliatar Cinema (Cine Aliatar)";"2";"1942";"c/ Recogidas, 2";"ANDALUCIA"
"Granada";"Cine Albaycín (Cine Albaicín)";"2";"1953";"Pl. Aliatar";"ANDALUCIA"
"Granada";"Cine Avenida";"2";"1956";"Avda. Dílar, 93 (antiguo Camino de Dílar, barrio de Zaidín)";"ANDALUCIA"
"Granada";"Cine Granada 10 (Cine Generalife, Cine Granada)";"2";"1945";"c/ Cárcel Baja, 12";"ANDALUCIA"
"Granada";"Cine Madrigal";"3";"1960";"Carrera de la Virgen, 14";"ANDALUCIA"
"Granada";"Multicines Centro (Palacio del Cine)";"1";"1961";"c/ Solarillo de Gracia, 11, esq. Pl. de Gracia";"ANDALUCIA"
"Granada";"Sala Prince (Príncipe Cinema, Cine Príncipe, ""Cine Canuto"")";"2";"1945";"Campo del Príncipe, 7 B (Barrio del Realejo)";"ANDALUCIA"
"Granada";"Sala X Cinema Granada";"2";"1986";"c/ Sócrates, 1";"ANDALUCIA"
"Granada";"Teatro Alhambra (Alhambra Cinema, Cine Alhambra)";"3";"1964";"c/ Molinos, 56 (Barrio del Realejo)";"ANDALUCIA"
"Granada";"Teatro Isabel La Católica (Teatro Municipal)";"3";"1952";"c/ Acera del Casino, 7 bajo";"ANDALUCIA"
"Guadalcanal";"Cine Teatro Municipal de Guadalcanal (Cine Emperador)";"3";"1972";"c/ del Costalero, 11";"ANDALUCIA"
"Hinojales";"Cine Alcázar";"2";"1957";"c/ Alcalde Pedro Uceda, 23";"ANDALUCIA"
"Hinojos";"Cine Reina Isabel";"2";"1956";"c/ Muñozypabón, 22";"ANDALUCIA"
"Hinojos";"Cine Victoria";"2";"1920";"c/ Antonio Ceferino Bocanegra, 8";"ANDALUCIA"
"Huelva";"Cine Rábida";"2";"1933";"c/ Rábida, 17, esquina c/ La Paz, 2";"ANDALUCIA"
"Huelva";"Cines Fantasio (Cine Fantasio)";"2";"1966";"Avda. José Muñoz de Vargas, 2. Isla Chica";"ANDALUCIA"
"Huelva";"Gran Teatro (Real Teatro)";"3";"1923";"c/ Vázquez López, 13";"ANDALUCIA"
"Huelva";"Multicines Emperador (Cine Emperador)";"2";"1964";"c/ Berdigón, 6";"ANDALUCIA"
"Huelva";"Palacio del Cine";"2";"1960";"c/ Béjar, 2, esquina con c/ Puerto, 53";"ANDALUCIA"
"Iznalloz";"Imperial Cinema";"2";"1958";"c/ Las Palmas, 17";"ANDALUCIA"
"Jaén";"Cine Cervantes";"1";"1979";"c/ Bernabé Soriano, 29";"ANDALUCIA"
"Jaén";"Cine España (Cine Iris Park, ""Cine Iris Pipas"", Cine Iris, Cinema España)";"2";"1935";"c/ Vergara, 4";"ANDALUCIA"
"Jaén";"Cines Alkázar (Cine Alkázar)";"1";"1978";"c/ Muñoz Garnica, 4";"ANDALUCIA"
"Jaén";"Multicines Avenida (Cines Avenida)";"1";"1981";"Avda. de Eduardo García Maroto, 6";"ANDALUCIA"
"Jaén";"Teatro Municipal Darymelia (Teatro Principal, Cine Darymelia, Teatro‐Cine Darymelia)";"3";"1927";"c/ Colón, 6";"ANDALUCIA"
"Jerez de la Frontera";"Cine Delicias";"1";"1964";"Paseo Las Delicias, s/n (Barrio de La Asunción)";"ANDALUCIA"
"Jerez de la Frontera";"Cine Jerezano";"1";"1948";"Pl. de San Andrés, 15";"ANDALUCIA"
"Jerez de la Frontera";"Cine Maravilla";"2";"1947";"c/ Larga, 63, esquina c/ Bizcocheros";"ANDALUCIA"
"Jerez de la Frontera";"Teatro Villamarta";"3";"1928";"Pl. Romero Martínez, 1";"ANDALUCIA"
"Jérez del Marquesado";"Cine Enma";"2";"1951";"c/ Alhorí esquina con c/ Feria";"ANDALUCIA"
"Jódar";"Teatro Cine Principal (Teatro Ascaro)";"1";"1931";"c/ Juan Mata, 2";"ANDALUCIA"
"Láujar de Andarax";"Cine Villaespesa";"2";"1940";"c/ Hermanos Castañeda, esquina con c/ Tintes";"ANDALUCIA"
"Linares";"Salón Regio";"2";"1908";"c/ Argüelles, 3";"ANDALUCIA"
"Linares";"Teatro Cervantes (Teatro San Ildefonso)";"3";"1954";"c/ Cervantes, 6";"ANDALUCIA"
"La Línea de la Concepción";"Cine Imperial (Cinema Imperial)";"1";"1940";"c/ Clavel, 4";"ANDALUCIA"
"La Línea de la Concepción";"Cine Trimope";"2";"1945";"c/ Jardines, 70";"ANDALUCIA"
"Loja";"Teatro Imperial (Cine Imperial, Imperial Cinema)";"1";"1943";"c/ Real, 8";"ANDALUCIA"
"Lopera";"Cine Colón";"1";"1981";"Paseo de Colón, 8";"ANDALUCIA"
"Lora del Río";"Teatro Cine Goya";"1";"1932";"c/ Rastro, 6";"ANDALUCIA"
"Lubrín";"Teatro Sotomayor";"2";"1940";"c/ Fuente, s/n";"ANDALUCIA"
"Lucena";"Teatro Palacio Erisana (Palacio Erisana)";"3";"1954";"Pl. Nueva s/n";"ANDALUCIA"
"Málaga";"Cine Actualidades";"2";"1934";"c/ Calderería, 2 esquina c/ Granada, 23";"ANDALUCIA"
"Málaga";"Cine Albéniz (Teatro Albéniz)";"3";"1945";"c/de la Alcazabilla, 4";"ANDALUCIA"
"Málaga";"Cine Lope de Vega";"2";"1962";"Avda. Juan Sebastián Elcano, 63‐ 65 (Barrio de El Palo)";"ANDALUCIA"
"Málaga";"Cine París";"2";"1962";"Pl. Cruz de Humilladero, s/n";"ANDALUCIA"
"Málaga";"Minicines Atlántida (Cine Atlántida)";"2";"1963";"c/ Refino, 20";"ANDALUCIA"
"Málaga";"Teatro Cine Carranque";"2";"1959";"c/ Pío XII, 8 (Pl. de Carranque)";"ANDALUCIA"
"Málaga";"Teatro Echegaray (Teatro Cine Echegaray, Cine Echegaray)";"3";"1932";"c/ Echegaray, 6";"ANDALUCIA"
"Málaga";"Teatro Soho Caixa Bank (Cine Alameda, Alameda Multicines Málaga)";"3";"1961";"c/ Córdoba, 13";"ANDALUCIA"
"Marbella";"Cine Alfil";"2";"1964";"c/ Ricardo Soriano, 19";"ANDALUCIA"
"Marbella";"Cine Liceo";"2";"1978";"c/ Notario Luis Oliver, 6";"ANDALUCIA"
"Marbella";"Cine Magallanes";"2";"1970";"c/ Magallanes, 18";"ANDALUCIA"
"Marchena";"Centro Comercial Cine Planelles (Cine Planelles)";"3";"1945";"c/ Manuel Rojas Marcos, 14";"ANDALUCIA"
"Martos";"Cine Olimpia";"1";"1949";"c/ San Francisco, 6";"ANDALUCIA"
"Martos";"Cinema San Miguel (Cine San Miguel)";"1";"1949";"c/ Vicente Aleixandre, 35";"ANDALUCIA"
"Martos";"Salón Moderno";"1";"1923";"c/ Vicente Aleixandre, 37";"ANDALUCIA"
"Mengíbar";"Cine Avenida";"1";"1960";"c/ Real, 5";"ANDALUCIA"
"Minas de Riotinto";"Cine Teatro Juan Cobos Wilkins (Cine Teatro de Riotinto)";"3";"1952";"Avda. del Coso, s/n";"ANDALUCIA"
"Monachil";"Cine Telecabina";"1";"2007";"Sierra Nevada";"ANDALUCIA"
"Montejícar";"Cinema Alta Coloma (Cine Alta Coloma)";"1";"1950";"Avda. Guadahortuna, 9";"ANDALUCIA"
"Montellano";"Teatro Cine San Fernando";"1";"1953";"c/ Matahacas, 35";"ANDALUCIA"
"Montilla";"Teatro Garnelo";"3";"1917";"Pl. de la Rosa, s/n";"ANDALUCIA"
"Motril";"Coliseo Viñas";"1";"1955";"c/ Nueva, 64";"ANDALUCIA"
"Motril";"Multicines Motril";"1";"1995";"Av. Salobreña, 41";"ANDALUCIA"
"Nerja";"Cine Linamar";"1";"1970";"c/ Fray Junípero Serra, 3";"ANDALUCIA"
"Olula del Río";"Cine Rialto (""Cine del Guardantés"")";"1";"1962";"c/ Ramón y Cajal, 27";"ANDALUCIA"
"Olula del Río";"Salón Cinema (""Cine del Paíco"")";"1";"1943";"c/ Obispo Emilio Jiménez";"ANDALUCIA"
"Orce";"Chircal Cinema";"2";"1947";"Pl. Nueva";"ANDALUCIA"
"Órgiva";"Gran Cinema";"1";"1948";"Avda. González Robles, 1";"ANDALUCIA"
"Osuna";"Cine San Pedro";"2";"1944";"c/ San Pedro, 13";"ANDALUCIA"
"Osuna";"Teatro Hermanos Álvarez";"1";"1919";"c/ Luis de Molina, s/n";"ANDALUCIA"
"Osuna";"Quintero";"";"";"";"ANDALUCIA"
"Padul";"Padul Cinema";"2";"1951";"Avda. de Andalucía, 241";"ANDALUCIA"
"La Palma del Condado";"Teatro España (Cine España)";"3";"1937";"Pl. de España, 8";"ANDALUCIA"
"Peñarroya Pueblonuevo";"Casa de la Cultura (Cinema Cruz)";"2";"1946";"c/ General Primo de Rivera, 32 (distrito de Peñarroya)";"ANDALUCIA"
"Porcuna";"Cine Teatro María Bellido (Teatro Municipal)";"3";"1960";"c/ Fernando Morente, 2";"ANDALUCIA"
"Posadas";"Cine Teatro Liceo Manuel Rumí Cortés (Cine Teatro Liceo)";"3";"1950";"c/ Fernández de Santiago, 38";"ANDALUCIA"
"Pozoblanco";"Cine Pósito Municipal (Cine Pósito)";"3";"1922";"Pl. del Pósito, 7";"ANDALUCIA"
"Priego de Córdoba";"Cine Gran Capitán";"2";"1960";"c/ Ubaldo Calvo, 13";"ANDALUCIA"
"Priego de Córdoba";"Teatro Victoria";"3";"1969";"c/ Antonio de la Barrera, s/n";"ANDALUCIA"
"La Puebla de Cazalla";"Salón Victoria";"3";"1950";"c/ Victoria";"ANDALUCIA"
"La Puebla de los Infantes";"Cine Andalucía (""Cine de los Gómez"")";"3";"1953";"c/ Antonio Machado, s/n";"ANDALUCIA"
"Puente Genil";"Teatro Circo";"3";"1902";"c/ Jesús, 1, esquina c/ Huerta";"ANDALUCIA"
"La Puerta de Segura";"Cine‐Teatro Cervantes (Teatro Felicia) Municipal)";"2";"1927";"Avda. de Andalucía, 34";"ANDALUCIA"
"El Puerto de Santa María";"Cine Macario";"2";"1978";"c/ Misericordia, 12 esquina c/ Luna";"ANDALUCIA"
"El Puerto de Santa María";"Multicines Avenida";"2";"1982";"Avda. de Andalucía, 2";"ANDALUCIA"
"Rincón de la Victoria";"Nuevo Cine Avenida";"1";"1960";"c/ Cinema, 1";"ANDALUCIA"
"Rociana del Condado";"Cine Socorro";"2";"1926";"c/ Andalucía, 10";"ANDALUCIA"
"Ronda";"Multicines Ronda";"3";"1998";"c/ Lauría, 58";"ANDALUCIA"
"Roquetas de Mar";"Multicines Chaplin";"1";"1990";"Avda. de Carlos III (Aguadulce)";"ANDALUCIA"
"San Fernando";"Centro de Congresos y Exposiciones (Cine Almirante)";"2";"1947";"c/ Real, 83";"ANDALUCIA"
"San Fernando";"Cine Alameda";"2";"1962";"Alameda Moreno de Guerra, 9";"ANDALUCIA"
"San Juan de Aznalfarache";"Cine Loreto";"2";"1955";"c/ Barajas, 19";"ANDALUCIA"
"Sanlúcar de Barrameda";"Cine Apolo";"1";"1955";"c/ Santo Domingo, 55";"ANDALUCIA"
"Santisteban del Puerto";"Coliseo España";"2";"1949";"c/ Esteban Solís, 5";"ANDALUCIA"
"Sevilla";"Avenida 5 cines (Cine Avenida)";"3";"1946";"c/ Marqués de Paradas, 15";"ANDALUCIA"
"Sevilla";"Centro Cultural Cajasol (Teatro Álvarez Quintero)";"3";"1950";"c/ Laraña, 4, esquina con c/ Arguijo";"ANDALUCIA"
"Sevilla";"Cine Alkázar (Cine Ramade)";"2";"1940";"c/ María Auxiliadora, 18 D";"ANDALUCIA"
"Sevilla";"Cine Andalucía";"2";"1960";"Ronda de Capuchinos, 19";"ANDALUCIA"
"Sevilla";"Cine Bécquer (Cinematógrafo Bécquer)";"2";"1940";"c/ Fray Luis Sotelo, 4 esq. c/ Bécquer, 12";"ANDALUCIA"
"Sevilla";"Cine Cerro (Cine Olimpia)";"2";"1930";"c/ Maestro Falla, 4";"ANDALUCIA"
"Sevilla";"Cine Cervantes (Teatro Cervantes)";"3";"1952";"c/ del Amor de Dios, 33";"ANDALUCIA"
"Sevilla";"Cine Delicias";"2";"1960";"c/ Juan Núñez, 3 (Barrio de la Macarena)";"ANDALUCIA"
"Sevilla";"Cine Juncal";"2";"1920";"Avda. Alcalde J. Fernández, 2";"ANDALUCIA"
"Sevilla";"Cine Los Remedios";"2";"1958";"c/ Asunción, 3 (Barrio de Los Remedios)";"ANDALUCIA"
"Sevilla";"Cine Palacio Central";"2";"1941";"c/ O`Donell, 7, esquina c/ San Acasio";"ANDALUCIA"
"Sevilla";"Cine Regina";"2";"1960";"c/ Jerónimo Hernández, 19";"ANDALUCIA"
"Sevilla";"Cine Rochelambert";"2";"1970";"c/ Juan Carvallo, s/n";"ANDALUCIA"
"Sevilla";"Cine Teatro Lloréns (Cine Lloréns)";"2";"1915";"c/ Sierpes, 26";"ANDALUCIA"
"Sevilla";"Cine Trajano ‐ Sala X (Salón de Variedades Lido)";"1";"1922";"c/ Trajano, 22 y c/ Amor de Dios, 29";"ANDALUCIA"
"Sevilla";"Cines Corona Center (Cines España)";"2";"1987";"c/ Paraíso, 1";"ANDALUCIA"
"Sevilla";"Multicines Chaplin";"2";"1982";"c/ Aracena, 4";"ANDALUCIA"
"Sevilla";"Multicines Florida (Cine Florida)";"2";"1941";"c/ Menéndez Pelayo, 29‐31";"ANDALUCIA"
"Sevilla";"Multicines Rialto (Cine Rialto, Cine Nuevo Rialto)";"2";"1946";"Pl. Jerónimo de Córdoba, 5";"ANDALUCIA"
"Sevilla";"Tablao Flamenco El Palacio Andaluz (Cine Capital)";"2";"1940";"c/ María Auxiliadora, 18 B";"ANDALUCIA"
"Sevilla";"Teatro Coliseo España (Cine Reina Mercedes, Teatro Reina Victoria)";"2";"1929";"Avda. de la Constitución, 38";"ANDALUCIA"
"Sevilla";"Teatro Imperial (Salón Imperial, Cine Imperial, Teatro Imperial)";"2";"1906";"c/ Sierpes, 25";"ANDALUCIA"
"Sevilla";"Teatro Quintero (Sala Pathé, Cine Pathé, Cine Delicias)";"3";"1925";"c/ Cuna, 15";"ANDALUCIA"
"Siles";"Cine San Roque";"2";"1963";"c/ San Roque";"ANDALUCIA"
"Siles";"Teatro Cine Principal (Teatro Principal)";"2";"1918";"c/ Familia Marín Martínez, 22";"ANDALUCIA"
"Sorbas";"Teatro Villaespesa";"3";"1910";"c/ San Francisco, s/n";"ANDALUCIA"
"Tabernas";"Teatro Municipal de Tabernas (Cine Capitol)";"3";"1950";"c/ Rogríguez Carmona, s/n";"ANDALUCIA"
"Tarifa";"Ideal Cinema";"2";"1960";"Pl. San Hiscio";"ANDALUCIA"
"Tharsis";"Cine Emilita (Teatro Cine de Tharsis)";"2";"1955";"Pl. del Casino (Pueblo Nuevo de Tharsis)";"ANDALUCIA"
"Tíjola";"Teatro Salón Mercedes";"2";"1930";"c/ Calderón de la Barca";"ANDALUCIA"
"Úbeda";"Teatro Ideal Cinema (Teatro Rey Alfonso)";"3";"1926";"c/ Real, 53";"ANDALUCIA"
"Ubrique";"Cine Capitol";"1";"1955";"c/ Ingeniero Romero Carrasco, 29";"ANDALUCIA"
"Ubrique";"Salón Siglo XX";"1";"1920";"c/ San Francisco, 14 C";"ANDALUCIA"
"Valverde del Camino";"Cine Valverde";"2";"1942";"c/ Menéndez Pelayo esquina con c/ Dr. Dorronsoro";"ANDALUCIA"
"Vélez‐Málaga";"Cine Teatro Lope de Vega";"1";"1961";"c/ Lope de Vega, 9, esquina con c/ Arroyo San Francisco";"ANDALUCIA"
"Vélez‐Málaga";"Multicines Andalucía";"1";"1970";"c/ Camino de Málaga, 50";"ANDALUCIA"
"Vélez‐Rubio";"(Cine‐Teatro Óvalo) Cine Óvalo";"3";"1960";"c/ Puertas de Granada, 6";"ANDALUCIA"
"Vera";"Cine Teatro Municipal Regio (Cine Teatro Regio)";"1";"1970";"c/ Radio Nacional, 2";"ANDALUCIA"
"Villamartín";"Cine Alameda";"1";"1955";"c/ del Santo, 97";"ANDALUCIA"
"Villanueva de Córdoba";"Teatro Español";"1";"1953";"c/ Conquista, 13, esquina c/ Cerro";"ANDALUCIA"
"Villanueva de";"Teatro Municipal (Cinema España)";"3";"1949";"c/ Blas Infante, 53";"ANDALUCIA"
"Villanueva del";"Teatro Cine San Fernando";"3";"1938";"c/ Juan Gómez Torga, s/n, esquina c/ Velázquez";"ANDALUCIA"
"Zafarraya";"Centro Cultural Enrique Morente (Cine Palma, Cinema Palma)";"3";"1949";"Avda de Andalucía, 1";"ANDALUCIA"
"Zalamea la Real";"Teatro Municipal Ruiz Tatay (Salón Ruiz Tatay, Teatro Ruiz Tatay)";"3";"1933";"c/ Don Juan Díaz González, s/n";"ANDALUCIA"
"La Zarza";"Teatro de La Zarza";"1";"1910";"c/ Ancha";"ANDALUCIA"
"La Zubia";"Cine Liszt";"2";"1962";"c/ Primero de mayo, 16";"ANDALUCIA"
"Ainzón";"Cine de Ainzón";"3";"1954";"Barrio Bajo";"ARAGON"
"Albalate de Cinca";"Cine Moderno";"1";"1945";"Albalate de Cinca";"ARAGON"
"Albalate del Arzobispo";"Cine‐Teatro Municipal (Cine Dorado)";"3";"1930";"c/ Concepción, s/n";"ARAGON"
"Albarracín";"Cine Capicol";"2";"1963";"c/ San Antonio, 11";"ARAGON"
"Alcampell";"Cine Solanes (Cine España)";"2";"1928";"c/ La Fuente";"ARAGON"
"Alcañiz";"Cine Guallar";"1";"1948";"c/ Mayor";"ARAGON"
"Alcañiz";"Cine Roch";"1";"1935";"Ronda de Belchite, 2";"ARAGON"
"Alcañiz";"Cines Alcañiz (Cine Alcañiz)";"1";"1990";"Pl. Paola Blasco, 1";"ARAGON"
"Alcañiz";"Salón Cinema";"2";"1950";"c/ Mayor";"ARAGON"
"Alcolea de Cinca";"Cine California (Cine Nuevo)";"1";"1946";"c/ Mayor";"ARAGON"
